,02-Sep-2026
The Nifty witnessed an intraday movement of about 127.65 points.The closing index was 0.59 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 115184.52
, Traded Quantity (in Lakhs), 49579.15
, Number of Trades, 38764448
, Total Market Capitalisation (Rs. Crores), 48624627.50

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CENTRALBK,EQ,        30.37,                206381716.20,6820964
,CENTRUM,EQ,        22.90,                  4546564.45,201793
,CENTUM,EQ,      3555.30,                417014929.40,117868
,CENTURYPLY,EQ,       748.45,                 19139521.70,25519
,CERA,EQ,      5662.50,                 11840478.00,2090
,CEREBRAINT,BZ,         2.57,                   220436.70,86970
,CESC,EQ,       146.44,                179679514.12,1227110
,CEWATER,EQ,       263.30,                 11659005.35,44650
,CFEL,EQ,        31.80,                   574124.04,18100
,CGCL,EQ,       256.60,                948727407.20,3713359
,CGRAPHICS,SM,       147.30,                  3521960.00,24000
,CGVAK,EQ,       148.93,                   199881.82,1333
,CHALET,EQ,       897.95,                 62974524.35,70205
,CHAMBLFERT,EQ,       411.45,                303398552.05,739003
,CHANDAN,SM,       211.40,                 10890320.00,51200
,CHAVDA,SM,       123.90,                  3688550.00,30000
,CHEMBOND,EQ,       167.67,                   654143.25,3886
,CHEMBONDCH,BE,       261.40,                  2315908.15,8614
,CHEMCON,BE,       199.61,                  3131713.89,15863
,CHEMCRUX,EQ,        81.52,                   288982.25,3519
,CHEMFAB,EQ,       355.25,                  1045641.55,2940
,CHEMICAL,EQ,        30.07,                  7672524.39,256088
,CHEMPLASTS,EQ,       169.83,                 21801102.16,128382
,CHENNPETRO,EQ,      1414.00,               2352088722.10,1672746
,CHETANA,SM,        43.90,                   893440.00,20800
,CHEVIOT,EQ,      1150.60,                  1758639.60,1549
,CHOICEGOLD,EQ,       148.39,                   999792.73,6727
,CHOICEIN,EQ,       763.40,                155248120.10,203010
,CHOLAHLDNG,EQ,      1489.00,                210993615.40,143781
,CIEINDIA,EQ,       385.00,                 73930745.15,191339
,CIFCZC28A,N5,      1305.00,                    33930.00,26
,CIFL,EQ,        20.41,                   180937.76,8872
,CINELINE,EQ,        88.18,                   760937.51,8621
,CINEVISTA,EQ,        14.40,                   166183.04,11609
,CITIUSINVT,IV,       114.52,                 12248730.10,106972
,CLASSICEIL,SM,        53.20,                   344400.00,6400
,CLAYCRAFT,SM,       161.80,                  6433500.00,40200
,CLEAN,EQ,       863.15,                945185695.00,1112817
,CLEANMAX,EQ,      1257.60,                131075384.20,104707
,CLEDUCATE,BE,        60.96,                  1009031.68,16196
,CLSEL,EQ,       301.40,                 21358180.85,70678
,CLSL,ST,        83.15,                   166300.00,2000
,CMLL,EQ,       495.45,                359693435.10,716590
,CMNL,SM,       120.00,                  2667900.00,22500
,CMPDI,EQ,       222.97,                202406615.20,906471
,CMRGREEN,EQ,       224.71,                 62664301.99,277896
,CMRSL,SM,        66.40,                   264680.00,4000
,CMSINFO,EQ,       249.30,                156584487.89,625944
,CNL,EQ,      1259.60,                 21508285.90,17267
,COASTCORP,EQ,        39.40,                  2380595.74,59914
,COCHINSHIP,EQ,      1463.00,                478579163.20,327832
,COCKERILL,EQ,      8005.00,                 32159039.00,4052
,COFFEEDAY,BE,        29.81,                  9586024.74,325805
,COFORGE,EQ,      1965.70,               3266885506.10,1665060
,COHANCE,EQ,       458.30,                191649532.45,417152
,COLPAL,EQ,      1861.50,                508056884.20,274685
,COMFINTE,EQ,         6.23,                   723434.10,116294
,COMMITTED,SM,       349.00,                  3350400.00,9600
,COMMOIETF,EQ,        99.26,                  2772022.73,28045
,COMPEAU,EQ,       354.00,                   203856.70,561
,COMPINFO,BZ,         1.07,                    12564.86,11679
,COMPUSOFT,EQ,        13.38,                   238944.83,17899
,COMSYN,EQ,       302.65,                 34629042.45,113506
,CONCOR,EQ,       510.00,               1130042576.50,2202359
,CONCORDBIO,EQ,      1444.80,                132628508.80,90956
,CONFIPET,EQ,        82.55,                421752523.02,5113322
,CONNPLEX,SM,       213.15,                  5484920.00,25600
,CONS,EQ,        12.06,                   254906.25,21260
,CONSOFINVT,BE,       266.25,                   490490.70,1836
,CONSUMAXIS,EQ,       120.12,                   642334.31,5359
,CONSUMBEES,EQ,       130.51,                 23281252.90,179006
,CONSUMER,EQ,        12.01,                  3598106.63,300957
,CONSUMIETF,EQ,       121.08,                   953598.17,7895
,CONTI,SM,        11.10,                  3225344.10,279972
,CONTROLPR,EQ,       603.30,                 38680739.35,64466
,COOLCAPS,ST,        22.50,                  3439062.50,157500
,CORALFINAC,EQ,        32.36,                   561947.44,17316
,CORDELIA,EQ,       101.89,                107317379.12,1054722
,CORDSCABLE,EQ,       315.50,                165104272.05,516769
,COROMANDEL,EQ,      1914.60,                183422588.90,95960
,CORONA,EQ,      2054.20,                 20497515.10,9979
,COSMOFIRST,EQ,       952.85,                130377897.50,136691
,COUNCODOS,BE,         6.70,                    92079.83,13720
,CPCAP,EQ,       115.16,                   914918.88,7926
,CPEDU,EQ,       186.93,                   406579.57,2202
,CPL,EQ,        61.87,                  9089225.99,144900
,CPPLUS,EQ,      3721.40,                825269509.30,222182
,CPS,SM,      1150.00,                  1395000.00,1200
,CPSEETF,EQ,        93.64,                115607642.83,1238289
,CRAFTSMAN,EQ,     10999.00,                474204732.00,43059
,CRAMC,EQ,       252.85,                 42112391.60,166410
,CRAVATEX,EQ,       339.00,                      339.00,1
,CREATIVEYE,EQ,         6.15,                     8190.60,1356
,CREDENT,ST,       355.60,                 49099560.00,140400
,CREDITACC,EQ,      1403.40,                553076978.40,394282
,CREST,EQ,       364.95,                  1475417.10,4044
,CRISIL,EQ,      4701.70,                192344469.00,40753
,CRIZAC,EQ,       165.30,                 63397557.33,380389
,CROMPTON,EQ,       227.72,                791309539.24,3476670
,CROWN,EQ,       108.27,                   813669.25,7390
,CRSL,BE,         2.74,                  1109620.43,397232
,CSBBANK,EQ,       331.65,                113358379.45,340893
,CSLFINANCE,EQ,       239.05,                 10861467.13,46180
,CSM,EQ,        95.94,                 12435527.70,130639
,CSSL,SM,        92.00,                   184050.00,2000
,CTE,BE,        43.16,                   296068.19,6771
,CUB,EQ,       230.61,                512135670.91,2227407
,CUBEINVIT,IV,       156.94,                113990938.67,727940
,CUBEXTUB,EQ,        76.07,                  1707204.18,22424
,CUDML,SM,       103.75,                  1225650.00,12000
,CUPID,EQ,       280.70,               2603590734.85,9328144
,CURAA,EQ,        67.04,                     2640.85,39
,CURIS,SM,       141.95,                  1432250.00,10000
,CURRENT,SM,        89.00,                   569600.00,6400
,CYBERMEDIA,EQ,        19.90,                  1616231.21,83153
,CYBERTECH,BE,       133.35,                   901664.61,6781
,CYIENT,EQ,      1122.20,                926084681.40,820374
,CYIENTDLM,EQ,       854.75,                495661987.05,581016
,DABUR,EQ,       379.00,                607084791.35,1597939
,DAICHI,EQ,       352.30,                  6283548.30,18127
,DALBHARAT,EQ,      1773.10,                104454310.10,58918
,DALMIASUG,EQ,       456.55,                155376174.20,337632
,DAMCAPITAL,EQ,       144.16,                 38757216.01,271119
,DAMODARIND,BE,        28.71,                   101722.14,3635
,DANGEE,EQ,         2.87,                   262315.14,91306
,DANISH,SM,       852.25,                 12910695.00,15300
,DATAMATICS,EQ,       763.95,                 22911002.30,29964
,DATAPATTNS,EQ,      4516.70,               1314560161.10,292275
,DAVANGERE,EQ,         2.09,                 19534333.62,9326102
,DBCORP,EQ,       194.27,                 18970174.31,97496
,DBEIL,BE,         6.11,                   964123.47,156716
,DBL,EQ,       395.05,                 23176065.25,58809
,DBOL,EQ,       128.18,                 17552206.27,136571
,DBREALTY,EQ,       102.81,                 76826426.32,752185
,DBSTOCKBRO,BE,        30.30,                   740956.42,24139
,DCAL,EQ,       176.85,                 40303776.04,225327
,DCBBANK,EQ,       222.34,                548785675.23,2487065
,DCCL,SM,        43.00,                    86000.00,2000
,DCG,SM,        74.65,                  8409840.00,116400
,DCI,EQ,       354.55,                 88767992.30,249417
,DCM,BE,        78.39,                  1148342.02,14889
,DCMFINSERV,EQ,         5.21,                    47221.30,9021
,DCMNVL,EQ,       185.47,                  6013453.51,31825
,DCMSHRIRAM,EQ,      1028.00,                 91944987.00,88712
,DCMSIL,EQ,        71.65,                  3938037.02,55181
,DCMSRIND,EQ,        46.81,                  7927575.56,170129
,DCW,EQ,        47.61,                288360396.63,6153160
,DCXINDIA,EQ,       171.23,                 36788688.46,215087
,DDEVPLSTIK,EQ,       274.05,                 17827818.90,64985
,DECCANCE,EQ,       571.30,                  1572788.70,2760
,DECCANTRAN,SM,        20.50,                   123120.00,6000
,DECNGOLD,EQ,       219.03,                165884092.69,757656
,DEEDEV,EQ,       643.85,                342737159.35,530818
,DEEP,EQ,        35.24,                   208641.71,5874
,DEEPAKFERT,EQ,      1416.70,                185166759.80,130758
,DEEPAKNTR,EQ,      1734.10,                679593570.30,389513
,DEEPINDS,EQ,       693.65,                306397436.40,450290
,DEFENCE,EQ,        80.63,                 19753489.33,246280
,DELAPLEX,SM,       101.25,                   896610.00,9000
,DELHIVERY,EQ,       454.80,                483047375.95,1061104
,DELPHIFX,BE,         6.09,                  1059434.87,172651
,DELTACORP,EQ,        56.95,                 36862875.84,647310
,DELTAMAGNT,EQ,        57.74,                   159287.34,2805
,DEN,EQ,        27.85,                  8400256.98,304255
,DENEERS,SM,       170.00,                   408570.00,2400
,DENORA,EQ,       816.95,                  1432194.65,1761
,DENTA,EQ,       270.50,                 30260584.60,111326
,DENTALKART,SM,       399.05,                   901237.50,2250
,DEVIT,EQ,        24.64,                   321467.16,12989
,DEVX,EQ,        33.01,                  3794044.01,114889
,DEVYANI,EQ,       138.07,                166166513.69,1211173
,DGCONTENT,EQ,        24.95,                  5322594.99,198027
,DHABRIYA,BE,       506.50,                 12099560.80,23368
,DHAMPURSUG,EQ,       170.67,                112837900.12,655398
,DHANBANK,EQ,        31.50,                 19383728.26,612773
,DHANLAXMI,SM,        24.25,                    48500.00,2000
,DHANSA,SM,        25.85,                   568600.00,22000
,DHANUKA,EQ,       995.70,                 16848152.00,17041
,DHARAN,BZ,         0.13,                  4308338.97,30671706
,DHARARAIL,ST,       145.35,                  1727500.00,12000
,DHARIWAL,SM,        22.70,                  1838700.00,81000
,DHARMAJ,EQ,       270.00,                 28584982.40,105881
,DHATRE,EQ,         4.32,                    69082.50,16175
,DHOOTTRANS,EQ,      1522.10,               7379713652.80,4833587
,DHRUV,EQ,        23.40,                   115052.90,4896
,DHUNINV,EQ,      1016.65,                  2152118.05,2140
,DIACABS,BE,       330.90,                286575888.35,857893
,DIAMINESQ,EQ,       243.65,                  1109055.82,4583
,DIAMONDYD,EQ,      1155.20,                  8220733.00,7145
,DICIND,EQ,       576.55,                  2822431.65,4900
,DIFFNKG,EQ,       476.80,                146450787.65,306772
,DIGIDRIVE,EQ,        17.69,                   183425.64,10459
,DIGIKORE,SM,        39.55,                  2026360.00,51200
,DIGISPICE,EQ,        16.97,                   844095.14,50007
,DIGITIDE,EQ,        95.88,                 14112186.09,146462
,DIGJAMLMTD,EQ,        49.01,                   103754.09,2110
,DISAQ,EQ,     12008.00,                  4091133.00,342
,DISHTV,EQ,         2.65,                  1973587.33,741311
,DIVGIITTS,EQ,      1244.40,                152144161.20,122025
,DIVIDEND,EQ,        35.51,                  1507628.52,42589
,DIVINEHIRA,ST,       110.00,                  2529000.00,22800
,DIVOPPBEES,EQ,        76.71,                  4482340.25,58412
,DIVYADHAN,ST,        40.85,                   878700.00,22000
,DIXON,EQ,     14590.00,               3135309538.00,216702
,DJML,EQ,        72.22,                 10592060.32,147754
,DLINKINDIA,EQ,       447.85,                184251847.80,411216
,DMCC,EQ,       293.35,                 18480537.65,63510
,DNAMEDIA,EQ,         2.53,                    66774.99,26237
,DODLA,EQ,      1065.30,                 37290599.70,34781
,DOLATALGO,EQ,        69.96,                 12510090.10,178494
,DOLLAR,EQ,       262.35,                 22303903.80,84900
,DOLLEX,SM,        36.15,                  1709200.00,48000
,DOLPHIN,EQ,       603.45,                 20309092.00,34269
,DOMS,EQ,      2206.30,                 64704143.80,29319
,DONEAR,EQ,        83.46,                   690305.44,8254
,DPABHUSHAN,EQ,      1370.40,                 33372260.30,24177
,DPEL,SM,       577.75,                 11556575.00,20000
,DPSCLTD,BE,         7.41,                   949515.30,130408
,DPWIRES,BE,       155.30,                   338663.63,2189
,DRAGARWQ,EQ,      5420.00,                 12471014.50,2319
,DRCSYSTEMS,EQ,        13.59,                   414934.28,30334
,DREAMFOLKS,EQ,        66.39,                  1757784.16,26461
,DREDGECORP,EQ,      1060.90,                 45910486.90,43034
,DRONE,SM,        34.70,                   363900.00,10500
,DSFCL,BE,        26.23,                   643848.40,24672
,DSKULKARNI,BE,        19.04,                       76.16,4
,DSSL,EQ,      1016.00,                 36967291.00,36263
,DTIL,EQ,       149.95,                  1807707.64,11996
,DTL,SM,       128.00,                   153600.00,1200
,DUCOL,SM,       115.00,                   273600.00,2400
,DUCON,EQ,         2.08,                  2108166.10,1030380
,DUGLOBAL,SM,        23.85,                   539000.00,22500
,DURLAX,SM,        63.00,                  2244400.00,36000
,DVL,EQ,       285.65,                  4219504.65,14922
,DWARKESH,EQ,        48.78,                192855678.21,3908597
,DYCL,EQ,       535.55,                587365618.45,1090048
,DYNAMATECH,EQ,     11425.00,                106992059.00,9361
,DYNAMIC,ST,       135.05,                  1714850.00,12500
,DYNPRO,EQ,       229.06,                  2360654.54,10344
,E2E,BE,       608.45,                378126002.25,626317
,E2ERAIL,SM,       347.70,                192844000.00,576000
,EASEMYTRIP,EQ,         6.00,                 70398318.79,11843898
,EASTSILK,BE,        61.28,                     5061.90,83
,EASTWEST,EQ,         2.45,                    65042.96,26674
,EBANK10,EQ,        16.71,                    44212.00,2651
,EBANKNIFTY,EQ,        57.83,                    34447.09,597
,EBBETF0430,EQ,      1606.00,                 15715145.24,9788
,EBBETF0431,EQ,      1431.77,                  2886703.29,2018
,EBBETF0433,EQ,      1309.22,                  2935980.52,2242
,EBGNG,EQ,       641.80,                820742668.85,1248083
,EBIX,EQ,        20.03,                  1551787.28,79184
,ECAPINSURE,EQ,        23.76,                   639906.64,27027
,ECLERX,EQ,      2004.50,                527786341.40,264722
,ECOLINE,ST,       178.25,                  3751700.00,21000
,ECORECO,EQ,       454.45,                  5995525.80,13107
,ECOSMOBLTY,EQ,       114.79,                 51090561.12,438547
,EDELWEISS,EQ,       126.18,                728893835.68,5705746
,EEPL,ST,       136.25,                  6155450.00,45000
,EFCIL,EQ,       199.12,                 40596043.25,203846
,EFFWA,ST,       352.80,                 11332200.00,32800
,EFORCE,SM,        20.35,                   331860.00,15600
,EGOLD,EQ,       149.15,                 12348217.10,82638
,EIDPARRY,EQ,       800.65,                284385697.65,358986
,EIEL,EQ,       192.36,                 85087523.35,446613
,EIFFL,BE,       284.25,                   119385.00,420
,EIHAHOTELS,EQ,       307.85,                 15086380.10,49556
,EIHOTEL,EQ,       285.80,                 50023656.25,174245
,EIMCOELECO,EQ,      2194.60,                 48592812.40,22028
,EKC,EQ,       106.25,                 13468465.76,127389
,EKI,EQ,        75.80,                  1246283.56,16532
,ELANTAS,EQ,     11904.00,                 98384254.00,8310
,ELCIDIN,EQ,    107000.00,                   320170.00,3
,ELDEHSG,EQ,       794.25,                   665233.75,838
,ELECON,EQ,       416.60,                136002346.90,329056
,ELECTCAST,EQ,        85.28,                310693666.22,3654988
,ELECTHERM,EQ,      1000.10,                  7578948.65,7593
,ELGIEQUIP,EQ,       616.75,                210388053.25,340531
,ELGIRUBCO,EQ,        60.88,                  3416957.63,56371
,ELGNZ,SM,        88.55,                  5024550.00,56000
,ELIN,EQ,        95.26,                 14026652.02,147098
,ELIQUID,EQ,      1046.13,                 17640873.54,16863
,ELITECON,EQ,         9.61,                  7780621.18,809638
,ELLEN,EQ,       313.30,                 72745007.05,232113
,ELM250,EQ,        16.50,                  4774985.93,287747
,ELMDIV,EQ,        36.08,                    84689.54,2336
,ELPROINTL,EQ,       173.86,                  3012071.76,17302
,EMAMILTD,EQ,       368.05,                437713419.85,1183546
,EMAMIPAP,BE,       109.31,                  1697470.61,15695
,EMAMIREAL,EQ,        67.98,                   988666.00,14408
,EMAPARTNER,SM,        83.55,                   343950.00,4000
,EMBASSY,RR,       435.23,                162380650.18,372037
,EMBDL,EQ,        59.18,                126573118.16,2150451
,EMCURE,EQ,      1858.40,                174479567.60,93727
,EMETAL,EQ,        13.15,                    76419.52,5814
,EMIL,EQ,       176.44,                165885342.78,942548
,EMKAY,EQ,       255.30,                  8986408.80,34967
,EMKAYTOOLS,SM,        92.00,                    96397.50,1050
,EMMBI,BE,        91.41,                  1528072.79,16813
,EMMIL,SM,       123.80,                   677687.50,5500
,EMMVEE,EQ,       324.70,                326960769.30,1011269
,EMPIND,EQ,      1196.90,                  9125924.20,7580
,EMPOWER,EQ,         1.91,                  3923630.87,2054257
,EMSLIMITED,EQ,       386.80,               3267242617.65,8214302
,EMUDHRA,EQ,       522.15,                 38113603.65,72368
,EMULTIMQ,EQ,        41.65,                   969989.91,23272
,ENCOMPAS,SM,       250.00,                   798600.00,3200
,ENDURANCE,EQ,      2755.90,                394705290.50,143316
,ENERGY,EQ,        38.22,                 24863471.16,651538
,ENERGYAXIS,EQ,        19.01,                   392781.19,20686
,ENERGYDEV,EQ,        15.65,                   268378.94,17038
,ENEXT50,EQ,        72.09,                   152345.33,2112
,ENFUSE,SM,       160.00,                   192000.00,1200
,ENGINERSIN,EQ,       276.60,               1882256305.05,6781901
,ENIFTY,EQ,        24.12,                   192233.02,7983
,ENIL,EQ,       100.28,                   899936.60,8961
,ENKEIWHEL,EQ,       389.20,                  1088696.10,2735
,ENSER,SM,        15.30,                   978500.00,65000
,ENTERO,EQ,      1797.40,                301981596.80,166967
,ENVIRO,SM,        70.00,                    70000.00,1000
,EPACK,EQ,       187.53,                 73878149.04,393677
,EPACKPEB,EQ,       225.04,                107699013.29,479629
,EPIGRAL,EQ,      1230.60,                 43217081.00,35163
,EPL,EQ,       236.30,               2511792275.80,10496347
,EPWINDIA,ST,       256.00,                   307200.00,1200
,EQUAL200,EQ,        13.79,                   337324.96,24530
,EQUAL50,EQ,       329.92,                  2551765.98,7747
,EQUAL50ADD,EQ,       341.16,                 17689679.36,51998
,EQUIPPP,BE,        23.19,                   340210.60,14860
,EQUITASBNK,EQ,        73.45,                 49169403.34,670856
,ERIS,EQ,      1288.90,                195852302.50,152755
,ESABINDIA,EQ,      6038.50,                 41129852.00,6800
,ESAFSFB,BE,        42.36,                 15195414.36,366036
,ESCONET,SM,       239.10,                 23832880.00,101200
,ESCORTS,EQ,      3019.40,                311136342.60,103177
,ESENSEX,EQ,        77.00,                    23441.55,304
,ESFL,SM,       117.10,                  2644884.00,22680
,ESG,EQ,        40.87,                   779767.02,19078
,ESILVER,EQ,       224.97,                 56516686.41,251202
,ESSARSHPNG,EQ,        16.73,                  2462990.65,147217
,ESSENTIA,EQ,         1.04,                  2522315.33,2411294
,ESTER,EQ,        94.05,                  8892204.64,95277
,ETHOSLTD,EQ,      2839.40,                 74122144.80,25873
,ETL,SM,      1100.00,                  1253445.00,1200
,ETML,SM,        80.80,                   582360.00,7200
,EUREKAFORB,EQ,       422.95,                 34384250.15,81366
,EUROBOND,EQ,       150.04,                  1110750.17,7429
,EUROPRATIK,EQ,       260.05,                 52631344.55,201379
,EVEREADY,EQ,       321.30,                 27833744.75,86932
,EVERESTIND,BE,       427.55,                  1574537.55,3705
,EVIETF,EQ,        32.53,                 15987450.63,492139
,EVINDIA,EQ,        32.61,                 28240065.53,868296
,EXCELINDUS,EQ,      1027.40,                  5694412.40,5547
,EXCELLENT,ST,       208.80,                   652480.00,3200
,EXCELSOFT,EQ,        69.62,                 11900391.06,171128
,EXICOM,EQ,       163.33,                113616886.87,698763
,EXIDEIND,EQ,       425.65,               1234629680.15,2878998
,EXIMROUTES,SM,       108.00,                   704800.00,6400
,EXPLEOSOL,EQ,       890.85,                387500194.35,431972
,EXXARO,EQ,         6.60,                  2510470.53,382891
,FABTECH,EQ,       147.84,                  9205299.88,62164
,FACT,EQ,       804.30,                113065588.05,140166
,FAIRCHEMOR,BE,       674.00,                  2054940.75,3070
,FALCONTECH,SM,        12.35,                   101700.00,8400
,FASCINATE,ST,        80.35,                   449960.00,5600
,FAZE3Q,EQ,       488.75,                  8365441.55,17325
,FCL,EQ,        49.19,                377210491.08,7723374
,FCSSOFT,EQ,         1.45,                  4406190.04,2997571
,FDC,EQ,       340.60,                 53658340.95,159404
,FEDDERSHOL,EQ,        45.99,                 43947190.42,954494
,FEDERALBNK,EQ,       353.35,               2198017162.10,6273256
,FEDFINA,EQ,       157.57,                110566902.16,704394
,FEL,BZ,         0.39,                    47913.96,123793
,FELDVR,BZ,         2.23,                      948.12,420
,FELIX,SM,       189.70,                 25451250.00,135000
,FERMENTA,EQ,       520.65,                 80978559.70,159537
,FIBERWEB,EQ,        25.76,                   322235.62,12490
,FIDEL,SM,       141.00,                   141000.00,1000
,FIEMIND,EQ,      2052.00,                113429164.10,55396
,FILATEX,EQ,        73.31,                136041502.41,1849818
,FILATFASH,EQ,         0.18,                  3878952.83,20978413
,FINBUD,SM,       126.00,                   637900.00,5000
,FINCABLES,EQ,      1191.20,                775250186.20,643658
,FINEORG,EQ,      5146.50,                 88244943.50,17127
,FINIETF,EQ,        32.43,                 14694694.15,455095
,FINKURVE,EQ,        69.53,                  4080542.50,58734
,FINOPB,EQ,       140.49,                123351086.83,871541
,FINPIPE,EQ,       157.84,                175350745.00,1132536
,FIRSTCRY,EQ,       170.82,                423857748.85,2461807
,FISCHER,EQ,        37.73,                 24408636.84,651361
,FIVESTAR,EQ,       524.85,                293485595.85,558691
,FLAIR,EQ,       247.14,                 16686377.25,67200
,FLEXIADD,EQ,        10.03,                   875012.64,87285
,FLEXITUFF,BE,         2.39,                   148958.58,62354
,FLFL,BZ,         1.23,                    34406.84,28609
,FLUOROCHEM,EQ,      4727.70,                549921973.50,116596
,FLYSBS,SM,       634.65,                 95996560.00,154400
,FMCGADD,EQ,        46.45,                   428478.78,9246
,FMCGIETF,EQ,        49.74,                 79911230.28,1609017
,FMGOETZE,EQ,       612.40,                938977023.90,1528240
,FMNL,EQ,         9.64,                   150266.32,15300
,FOCUS,BE,        64.53,                  2430838.01,37259
,FONEBOX,SM,        99.00,                    99000.00,1000
,FOODSIN,EQ,        54.78,                 20600442.56,374789
,FORCAS,ST,       239.95,                  2276960.00,9600
,FORCEMOT,EQ,     17600.00,               1818451279.00,103485
,FORGEAUTO,SM,        95.25,                   114300.00,1200
,FORTIS,EQ,       915.00,                659650471.60,725295
,FOSECOIND,EQ,      6183.00,                 76896499.00,12329
,FRACTAL,EQ,       821.40,                127240439.70,154219
,FREDUN,EQ,      1505.80,                 14546150.10,9712
,FRESHARA,ST,       461.30,                  8288190.00,18000
,FROG,ST,       259.15,                  7944840.00,30800
,FRONTSP,EQ,      1250.40,                 16991131.90,13571
,FSL,EQ,       270.40,                180839583.10,674372
,FUSION,EQ,       193.42,                 39837953.37,206791
,GABRIEL,EQ,      1384.90,                320206665.70,230274
,GAEL,EQ,       170.80,                 82734858.58,483798
,GAJA,EQ,       163.83,                393935364.56,2433047
,GALAPREC,EQ,      1040.50,                 36152158.70,35036
,GALAXYSURF,EQ,      2223.10,                 25052643.20,11285
,GALLANTT,EQ,       555.40,                 27461577.45,49632
,GANDHAR,EQ,       265.95,                270201078.35,1018241
,GANDHITUBE,EQ,       896.40,                  7165149.55,7989
,GANECOS,EQ,      1004.40,                 54317821.40,53502
,GANESHBE,BE,       122.18,                 22565494.66,186820
,GANESHCP,EQ,       167.47,                 11281445.56,67303
,GANESHHOU,EQ,       762.00,                  8652493.15,11344
,GANESHIN,ST,        97.70,                 10714720.00,108800
,GANGABATH,SM,        20.60,                  1562100.00,75000
,GANGAFORGE,EQ,         1.85,                 13059862.50,7078382
,GANGESSECU,EQ,       117.87,                   169540.08,1435
,GARFIBRES,EQ,       814.75,                 43240393.60,52451
,GARUDA,EQ,       174.34,                 80953979.79,459289
,GATECH,BE,         1.00,                  5654832.00,5654832
,GATECHDVR,BE,         0.52,                   226907.46,435438
,GATEWAY,EQ,        53.10,                 49233476.83,928175
,GAUDIUMIVF,BE,       123.40,                 19554045.31,159307
,GAYAHWS,EQ,         1.99,                   429825.51,215434
,GAYAPROJ,EQ,        21.46,                 11847261.86,549373
,GCHOTELS,ST,        98.45,                  6825990.00,71400
,GCSL,EQ,       571.85,                317496052.30,556823
,GEECEE,BE,       366.90,                   641902.00,1751
,GEEKAYWIRE,EQ,        27.86,                  9755335.08,334848
,GEMAROMA,EQ,       164.17,                 10474306.89,63560
,GENCON,EQ,        44.33,                 10958878.48,245355
,GENESYS,EQ,       219.87,                 87784456.75,396489
,GENSOL,BZ,        16.86,                   448724.10,26383
,GENUSPAPER,EQ,        11.96,                   504476.27,42138
,GENUSPOWER,EQ,       336.15,               1232072983.65,3705712
,GENXAI,SM,        81.90,                  8319120.00,102000
,GEOJITFSL,EQ,        82.76,                 18615802.46,225428
,GESHIP,EQ,      1305.60,                617527423.10,471098
,GFLLIMITED,EQ,        58.82,                 20184957.36,346841
,GGBL,SM,       225.85,                  6588435.00,29400
,GHCL,EQ,       435.10,                 23396895.55,53854
,GHCLTEXTIL,EQ,       139.35,                197013793.37,1397109
,GICHSGFIN,EQ,       145.82,                 22331565.59,155356
,GICL,EQ,        23.99,                  5575663.92,234510
,GICRE,EQ,       355.45,                639200063.20,1798962
,GILLANDERS,EQ,       105.02,                   349553.13,3326
,GILLETTE,EQ,      7346.00,                153207640.50,20760
,GILT10BETA,EQ,        26.75,                      561.41,21
,GILT5BETA,EQ,        65.69,                    30889.10,462
,GILT5YBEES,EQ,        66.09,                 13075087.90,198008
,GINNIFILA,BE,        43.97,                  1703784.65,38932
,GIPCL,EQ,       205.94,                311486717.75,1526007
,GIRIRAJ,SM,        74.90,                   955050.00,12750
,GJL,ST,       235.00,                  1368920.00,5600
,GKB,EQ,        65.80,                     4503.73,68
,GKENERGY,EQ,       131.04,                 29521378.59,225373
,GKSL,EQ,       168.30,                137223607.93,817412
,GKWLIMITED,EQ,      1593.30,                 40389574.70,26045
,GLAND,EQ,      2868.40,               1593070275.40,556481
,GLAXO,EQ,      2949.90,                174519690.80,59227
,GLENMARK,EQ,      2460.00,               1262181585.60,516029
,GLFL,EQ,         5.80,                    35968.21,6306
,GLOBAL,EQ,       117.31,                 56919399.46,496539
,GLOBALE,EQ,        11.23,                    38522.04,3568
,GLOBALPET,ST,       154.00,                   115500.00,750
,GLOBALVECT,EQ,       142.93,                   798216.62,5651
,GLOBE,EQ,         1.91,                  1159424.20,610832
,GLOBECIVIL,EQ,        46.84,                  7344378.37,158647
,GLOBUSSPR,EQ,       908.75,                 99579385.80,110360
,GLOSTERLTD,EQ,       585.35,                   756265.55,1284
,GLOTTIS,EQ,        62.22,                  1638087.73,26138
,GMBREW,EQ,       885.40,                 17091827.75,19456
,GMDCLTD,EQ,       557.65,                221030619.80,395940
,GML,SM,        17.85,                   321000.00,18000
,GMMPFAUDLR,EQ,      1070.00,                178941947.50,167948
,GMRAIRPORT,EQ,        93.99,                571802977.39,6108730
,GMRP&UI,EQ,        91.14,                201407773.49,2248453
,GNA,EQ,       532.40,                 82961474.50,155940
,GNFC,EQ,       576.95,                351684887.80,610680
,GNRL,EQ,        94.84,                  5540281.94,58303
,GOACARBON,EQ,       365.80,                  2375364.60,6453
,GOCLCORP,EQ,       391.70,                  8741376.40,22496
,GOCOLORS,EQ,       323.35,                 16590149.40,51374
,GODAVARIB,EQ,       237.30,                  7323741.50,31043
,GODFRYPHLP,EQ,      2025.40,                460660344.60,226079
