MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,NJ,848AEL29,AEL 8.48% 2029 SR III,      1010.00,      1010.00,      1010.00,      1010.00,      1010.00,                    10100.00,10, ,1,      1100.00,       984.85
N,NK,985ECL28,SEC RED NCD 9.85% SR. VII,      1004.87,       910.00,      1100.00,       910.00,      1002.00,                   191270.60,188, ,5,      1235.00,       878.00
N,NL,797IGT31,SEC RE NCD 7.97% SR.VI,      1017.60,      1010.00,      1010.00,      1010.00,      1010.00,                    10100.00,10, ,1,      1115.00,       986.15
N,NL,842IIFL26,SEC RE NCD 8.42% SR.V,       997.01,       999.89,       999.89,       996.00,       996.00,                    55956.14,56, ,5,      1008.99,       889.00
N,NM,862AEL31,AEL 8.62% 2031 SR VI,      1011.00,      1015.00,      1015.00,      1015.00,      1015.00,                     5075.00,5, ,1,      1108.00,       998.00
N,NN,890AEL31,AEL 8.90% 2031 SR VII,      1055.99,      1053.00,      1055.85,      1053.00,      1055.21,                  2909259.71,2761, ,14,      1108.02,       994.00
N,NO,764IRFC31,TAX FREE  7.64% SR. 108A,      1144.07,      1146.00,      1146.00,      1146.00,      1146.00,                    57300.00,50, ,1,      1170.00,      1085.20
N,NO,985SFIL28,SEC RE NCD 9.85% SR.VIII,       425.00,       375.50,       400.00,       375.50,       395.01,                    29287.70,75, ,3,       700.00,       350.00
N,NR,1015ECL29,SEC RED NCD 10.15% SR. VI,      1016.02,      1015.10,      1019.81,      1015.10,      1018.25,                   376823.06,370, ,15,      1114.12,       999.25
N,NS,1060ECL29,SEC RED NCD 10.6% SR. VII,      1288.00,      1061.00,      1089.00,      1061.00,      1088.50,                    87057.00,82, ,3,      1288.00,       993.00
N,NS,865IIFL28,SEC RE NCD 8.65% SR.V,       996.10,       996.10,       996.10,       994.50,       995.25,                  1820996.50,1830, ,19,      1003.98,       890.00
N,NT,9IIFL28A,SEC RE NCD 9% SR.VI,      1049.99,      1040.00,      1040.00,      1040.00,      1040.00,                   650000.00,625, ,2,      1095.00,       943.10
N,NX,1003SFIL28,SEC RE NCD 10.50% SR.VII,       451.88,       478.00,       479.00,       412.00,       446.41,                    21428.00,48, ,7,       822.00,       400.00
N,Y5,852IIFL29,IIFL 8.52% TR I SR II,       963.00,       994.00,       994.00,       994.00,       994.00,                      994.00,1, ,1,      1016.00,       952.00
N,Y6,865IIFL31,IIFL 8.65% TR I SR III,       985.00,       987.00,       987.00,       987.00,       987.00,                    19740.00,20, ,1,      1003.00,       951.00
N,Y9,9IIFL31,IIFL 9.00% TR I SR VI,       998.10,      1040.00,      1040.00,      1014.00,      1014.00,                   140607.00,138, ,5,      1078.00,       931.59
N,YA,IIFL060326,IIFL TR I SR VII,      1020.00,      1019.00,      1019.00,      1019.00,      1019.00,                    30570.00,30, ,1,      1040.00,       931.98
N,YC,IIFL06326,IIFL TR I SR IX,       980.00,      1000.00,      1000.00,      1000.00,      1000.00,                  1031000.00,1031, ,1,      1151.11,       945.00
N,YG,980SCL33D,SEC RE NCD 9.71% SR VIII,       835.00,      1002.00,      1002.00,      1002.00,      1002.00,                     1002.00,1, ,1,      1050.00,       822.00
N,YI,903SFL28,SEC RED NCD 9.03% SR. II,      1030.10,      1035.00,      1035.00,      1034.00,      1034.00,                   165595.00,160, ,5,      1078.00,      1020.00
N,YP,930SFL28,SEC RED NCD 9.30% SR. II,      1045.00,      1050.00,      1050.00,      1048.00,      1048.00,                   162630.30,155, ,6,      1190.00,       898.20
N,YT,990SCL27,SEC RE NCD 9.9% SR IV,      1030.20,      1030.20,      1030.20,      1030.20,      1030.20,                     3090.60,3, ,1,      1100.25,       911.00
N,YW,0SCL27,SEC RE NCD SR VI,      1241.87,      1233.60,      1233.60,      1233.60,      1233.60,                   123360.00,100, ,2,      1262.40,      1103.00
N,YW,957ICCL25,SEC RED NCD 9.30% SR. II,      1070.00,      1032.19,      1045.00,      1032.19,      1042.50,                   246134.00,237, ,8,      1148.00,      1025.00
N,YZ,97SFL29,SEC RED NCD 9.70% SR. V,      1091.00,      1091.00,      1091.00,      1091.00,      1091.00,                   103645.00,95, ,2,      1185.00,      1008.00
N,Z9,905SC24B,SEC RE NCD 9.15% SR.VIII,       999.90,       999.90,       999.90,       999.90,       999.90,                      999.90,1, ,1,      1001.00,       933.90
N,ZJ,948SCL27A,SEC RE NCD 9.48% SR V,      1001.00,      1000.00,      1000.00,      1000.00,      1000.00,                    47000.00,47, ,2,      1001.00,       835.20
N,ZN,93SCL24A,SEC RE NCD 9.15% SR.VIII,       999.90,       999.90,       999.90,       999.90,       999.90,                    39996.00,40, ,1,      1000.55,       920.50
N,ZT,1025SCL34A,SEC RE NCD 10.25% SR XII,      1015.00,      1000.00,      1000.00,      1000.00,      1000.00,                     1000.00,1, ,1,      1111.00,       885.00
