TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-27,2026-08-27,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,15706.00,15706.00,15555.00,15638.46,15670.00,15946.89,,15638.46,,,55,859542.16,19,F1,1,,,,,
2026-08-27,2026-08-27,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,15856.20,15856.20,15624.00,15656.74,15679.99,15952.83,,15669.04,,,259,4075488.61,74,F1,1,,,,,
2026-08-27,2026-08-27,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,15940.00,15940.00,15599.99,15608.80,15605.04,15944.00,,15608.80,,,624,9790069.49,101,F1,1,,,,,
2026-08-27,2026-08-27,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,15904.70,15904.70,15575.00,15623.55,15605.00,15904.27,,15622.89,,,169,2642204.96,35,F1,1,,,,,
2026-08-27,2026-08-27,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,15762.20,15762.20,15515.01,15611.60,15598.00,15909.29,,15608.41,,,114,1781469.60,40,F1,1,,,,,
2026-08-27,2026-08-27,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,15930.00,15989.85,15705.00,15802.27,15820.50,16076.00,,15802.27,,,229,3631805.81,39,F1,1,,,,,
2026-08-27,2026-08-27,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,15751.00,15751.00,15610.00,15675.16,15675.00,15951.42,,15675.16,,,193,3024707.58,34,F1,1,,,,,
2026-08-27,2026-08-27,CM,NSE,STK,5960,IN0020180249,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,15510.00,15701.00,15510.00,15700.00,15700.00,16000.00,,15700.00,,,102,1591740.00,3,F1,1,,,,,
2026-08-27,2026-08-27,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,15750.00,15750.00,15750.00,15750.00,15750.00,15870.10,,15750.00,,,8,126000.00,3,F1,1,,,,,
2026-08-27,2026-08-27,CM,NSE,STK,7654,IN0020180389,SGBDEC26,GB,,,,,2.50%GOLDBONDS2026SR-IV,15701.00,15800.00,15600.00,15600.00,15600.00,16289.99,,15600.00,,,20,313400.00,8,F1,1,,,,,
2026-08-27,2026-08-27,CM,NSE,STK,10261,IN0020190073,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,15702.01,15702.01,15505.02,15589.95,15580.00,15939.94,,15589.95,,,49,765568.33,23,F1,1,,,,,
2026-08-27,2026-08-27,CM,NSE,STK,12904,IN0020190107,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,15929.25,15929.25,15522.00,15588.16,15620.35,15865.56,,15581.40,,,257,4014785.65,140,F1,1,,,,,
2026-08-27,2026-08-27,CM,NSE,STK,13209,IN0020190115,SGBSEP27,GB,,,,,2.50%GOLDBONDS2027SR-IV,15850.00,15850.00,15705.00,15750.00,15750.00,16189.99,,15750.00,,,304,4808535.00,9,F1,1,,,,,
2026-08-27,2026-08-27,CM,NSE,STK,13981,IN0020190370,SGBOCT27,GB,,,,,2.50%GOLDBONDS2027SR-V,15750.00,15750.00,15750.00,15750.00,15750.00,16666.53,,15750.00,,,15,236250.00,7,F1,1,,,,,
2026-08-27,2026-08-27,CM,NSE,STK,8766,IN0020180561,SGBFEB27,GB,,,,,2.50%GOLDBONDS2027SR-VI,15883.26,15883.26,15726.00,15726.00,15726.00,15726.00,,15726.00,,,7,110396.52,4,F1,1,,,,,
2026-08-27,2026-08-27,CM,NSE,STK,14252,IN0020190388,SGBOCT27VI,GB,,,,,2.50%GOLDBONDS2027SR-VI,15700.00,15765.00,15605.00,15765.00,15765.00,16139.99,,15765.00,,,6,93980.00,4,F1,1,,,,,
2026-08-27,2026-08-27,CM,NSE,STK,15432,IN0020190461,SGBDC27VII,GB,,,,,2.50%GOLDBONDS2027SR-VII,15531.01,15845.00,15531.01,15747.50,15650.00,16025.00,,15747.50,,,16,249845.76,11,F1,1,,,,,
2026-08-27,2026-08-27,CM,NSE,STK,18862,IN0020200062,SGBAPR28I,GB,,,,,2.50%GOLDBONDS2028SR-I,15889.99,15889.99,15610.00,15657.80,15700.00,16014.83,,15661.25,,,144,2263956.37,52,F1,1,,,,,
2026-08-27,2026-08-27,CM,NSE,STK,18972,IN0020200088,SGBMAY28,GB,,,,,2.50%GOLDBONDS2028SR-II,15802.00,15802.00,15583.82,15590.36,15583.82,15913.00,,15590.36,,,212,3330566.98,48,F1,1,,,,,
2026-08-27,2026-08-27,CM,NSE,STK,22242,IN0020200146,SGBJUL28IV,GB,,,,,2.50%GOLDBONDS2028SR-IV,15860.00,15860.00,15515.01,15572.31,15561.00,15942.00,,15572.31,,,340,5312965.49,80,F1,1,,,,,
2026-08-27,2026-08-27,CM,NSE,STK,17664,IN0020190545,SGBFEB28IX,GB,,,,,2.50%GOLDBONDS2028SR-IX,15950.00,15950.00,15800.00,15800.00,15800.00,15950.00,,15810.00,,,14,222700.00,3,F1,1,,,,,
2026-08-27,2026-08-27,CM,NSE,STK,22385,IN0020200161,SGBAUG28V,GB,,,,,2.50%GOLDBONDS2028SR-V,15871.00,15871.00,15407.00,15605.81,15590.00,15901.36,,15601.72,,,1724,26901253.75,280,F1,1,,,,,
2026-08-27,2026-08-27,CM,NSE,STK,149,IN0020200195,SGBSEP28VI,GB,,,,,2.50%GOLDBONDS2028SR-VI,15851.00,15999.68,15705.00,15880.28,15925.00,16075.19,,15868.12,,,165,2607191.12,36,F1,1,,,,,
2026-08-27,2026-08-27,CM,NSE,STK,834,IN0020200203,SGBOC28VII,GB,,,,,2.50%GOLDBONDS2028SR-VII,15930.00,15930.00,15600.00,15630.51,15630.51,15952.00,,15721.75,,,108,1696455.42,22,F1,1,,,,,
2026-08-27,2026-08-27,CM,NSE,STK,18451,IN0020190552,SGBMAR28X,GB,,,,,2.50%GOLDBONDS2028SR-X,15850.00,15949.00,15702.10,15949.00,15949.00,16499.00,,15949.00,,,139,2203061.60,6,F1,1,,,,,
2026-08-27,2026-08-27,CM,NSE,STK,5113,IN0020210111,SGBJUL29IV,GB,,,,,2.50%GOLDBONDS2029SR-IV,15801.00,15801.00,15520.00,15579.39,15614.00,15917.38,,15579.39,,,218,3405720.19,55,F1,1,,,,,
2026-08-27,2026-08-27,CM,NSE,STK,1920,IN0020200377,SGBJAN29IX,GB,,,,,2.50%GOLDBONDS2029SR-IX,15880.00,15880.00,15599.99,15621.00,15621.00,15900.05,,15600.02,,,615,9648447.86,79,F1,1,,,,,
2026-08-27,2026-08-27,CM,NSE,STK,5455,IN0020210129,SGBAUG29V,GB,,,,,2.50%GOLDBONDS2029SR-V,15882.36,15882.36,15609.99,15667.82,15667.82,15882.36,,15655.32,,,160,2509346.34,66,F1,1,,,,,
2026-08-27,2026-08-27,CM,NSE,STK,7098,IN0020210228,SGBD29VIII,GB,,,,,2.50%GOLDBONDS2029SR-VIII,15801.00,15801.00,15555.00,15632.70,15600.00,15933.75,,15616.29,,,333,5217095.75,89,F1,1,,,,,
2026-08-27,2026-08-27,CM,NSE,STK,2003,IN0020200385,SGBJAN29X,GB,,,,,2.50%GOLDBONDS2029SR-X,15802.00,15802.00,15561.04,15593.40,15561.04,15905.00,,15583.84,,,26,406966.92,14,F1,1,,,,,
2026-08-27,2026-08-27,CM,NSE,STK,2200,IN0020200393,SGBFEB29XI,GB,,,,,2.50%GOLDBONDS2029SR-XI,15802.00,15802.00,15200.00,15561.17,15552.00,15890.84,,15561.92,,,291,4547587.28,85,F1,1,,,,,
