MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y,Nifty100 Liq 15,      7551.50,      7491.20,      7517.60,      7459.60,      7517.60,0.00,0,Y, ,0,      7785.85,      6565.70
Y,Nifty CPSE,      6387.00,      6378.20,      6432.35,      6350.80,      6429.80,0.00,0,Y, ,0,      7593.35,      6101.90
Y,Nifty GrowSect 15,     11541.30,     11414.75,     11440.65,     11334.45,     11435.75,0.00,0,Y, ,0,     12852.45,     10329.35
Y,Nifty50 PR 2x Lev,     11858.95,     11662.35,     11718.00,     11593.35,     11718.00,0.00,0,Y, ,0,     14993.40,     10365.70
Y,Nifty50 PR 1x Inv,       221.25,       223.10,       223.75,       222.60,       222.60,0.00,0,Y, ,0,       236.50,       197.80
Y,Nifty50 TR 2x Lev,     18069.55,     17775.45,     17860.20,     17670.30,     17860.20,0.00,0,Y, ,0,     22435.45,     15547.15
Y,Nifty50 TR 1x Inv,       179.55,       181.00,       181.55,       180.60,       180.60,0.00,0,Y, ,0,       193.35,       161.80
Y,Nifty50 Value 20,     11864.00,     11772.50,     11834.60,     11737.45,     11811.20,0.00,0,Y, ,0,     13684.40,     11528.60
Y,Nifty Mid Liq 15,     17365.85,     17237.75,     17244.35,     16995.70,     17146.00,0.00,0,Y, ,0,     17721.85,     13702.75
Y,Nifty Pvt Bank,     27762.10,     27555.50,     27639.20,     27501.15,     27606.80,0.00,0,Y, ,0,     29748.45,     23957.45
Y,NIFTY100 Qualty30,      5696.05,      5651.25,      5656.65,      5606.55,      5656.65,0.00,0,Y, ,0,         0.00,         0.00
