TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-31,2026-08-31,CM,NSE,STK,23507,INE899L01030,UEL,EQ,,,,,UJAAS ENERGY LIMITED,198.79,198.79,184.74,198.79,198.79,189.33,,202.11,,,55208,10886943.01,553,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,15228,INE551W01018,UJJIVANSFB,EQ,,,,,UJJIVAN SMALL FINANC BANK,67.23,69.43,66.68,69.11,69.21,67.85,,69.11,,,8505500,580005411.26,32106,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,762963,INE405A01021,ULTRAMAR,BL,,,,,ULTRAMARINE & PIGMENTS L,400.00,400.00,400.00,400.00,400.00,418.95,,400.00,,,1460000,584000000.00,2,F1,999999999,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,762961,INE405A01021,ULTRAMAR,EQ,,,,,ULTRAMARINE & PIGMENTS L,416.20,448.65,416.20,442.85,444.05,411.30,,442.76,,,465042,204565307.70,12998,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,11532,INE481G01011,ULTRACEMCO,EQ,,,,,ULTRATECH CEMENT LIMITED,11550.00,11560.00,11415.00,11450.00,11450.00,11589.00,,11450.05,,,381057,4369682462.00,36590,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,13349,INE067901012,UMA,SM,,,,,UMA CONVERTER LIMITED,19.95,19.95,18.55,18.55,18.55,19.05,,18.55,,,8000,154000.00,2,F1,4000,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,8845,INE0GIU01018,UMAEXPORTS,BE,,,,,UMA EXPORTS LIMITED,26.58,26.62,25.95,25.95,25.95,26.47,,26.21,,,8639,227675.00,30,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,8998,INE398B01018,UMIYA-MRO,EQ,,,,,UMIYA BUILDCON LIMITED,96.75,98.80,94.64,96.14,96.51,94.64,,96.12,,,67320,6541931.79,701,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,3579,INE351A01035,UNICHEMLAB,EQ,,,,,UNICHEM LABORATORIES LTD,564.25,589.35,551.40,556.55,554.05,564.25,,556.54,,,321470,184554537.10,15038,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,24809,INE00U401027,UNIECOM,EQ,,,,,UNICOMMERCE ESOLUTIONS L,87.15,91.50,85.43,89.36,89.50,87.18,,89.36,,,845771,75712764.07,7295,F1,1,,,,,
