TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-25,2026-08-25,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,15910.00,15980.00,15900.00,15908.61,15905.00,15963.22,,15908.61,,,198,3153748.40,24,F1,1,,,,,
2026-08-25,2026-08-25,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,16028.00,16028.00,15880.00,15950.00,15950.01,16028.00,,15950.00,,,88,1403664.27,25,F1,1,,,,,
2026-08-25,2026-08-25,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,15991.00,16023.99,15860.00,15976.21,15975.00,15994.91,,15975.48,,,485,7726563.54,101,F1,1,,,,,
2026-08-25,2026-08-25,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,15945.25,15993.20,15897.42,15939.64,15925.00,15993.22,,15936.42,,,239,3809455.54,41,F1,1,,,,,
2026-08-25,2026-08-25,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,15905.65,15999.00,15855.01,15920.35,15925.00,15985.57,,15921.35,,,173,2758385.97,45,F1,1,,,,,
2026-08-25,2026-08-25,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,16101.00,16200.00,16100.00,16200.00,16200.00,16160.50,,16177.50,,,621,10037137.23,64,F1,1,,,,,
2026-08-25,2026-08-25,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,16000.00,16000.00,15919.01,15993.19,15999.00,16000.00,,15988.80,,,153,2444383.62,37,F1,1,,,,,
2026-08-25,2026-08-25,CM,NSE,STK,5960,IN0020180249,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,16005.00,16600.00,16005.00,16010.00,16010.00,16060.03,,16005.00,,,81,1299440.00,10,F1,1,,,,,
2026-08-25,2026-08-25,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,15850.01,15950.00,15850.00,15950.00,15950.00,15900.00,,15958.00,,,204,3234361.15,13,F1,1,,,,,
2026-08-25,2026-08-25,CM,NSE,STK,10261,IN0020190073,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,15905.01,15948.99,15850.09,15860.12,15860.12,15900.00,,15860.12,,,22,349400.64,12,F1,1,,,,,
2026-08-25,2026-08-25,CM,NSE,STK,11154,IN0020190081,SGBJUL27,GB,,,,,2.50%GOLDBONDS2027SR-II,16017.00,16017.00,16017.00,16017.00,16017.00,15892.22,,15863.50,,,70,1121190.00,1,F1,1,,,,,
2026-08-25,2026-08-25,CM,NSE,STK,12904,IN0020190107,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,15945.00,16021.65,15910.00,15940.28,15911.00,15945.00,,15940.62,,,26,414508.74,10,F1,1,,,,,
2026-08-25,2026-08-25,CM,NSE,STK,13209,IN0020190115,SGBSEP27,GB,,,,,2.50%GOLDBONDS2027SR-IV,16051.00,16479.98,16051.00,16479.98,16479.98,16175.00,,16479.98,,,31,499510.98,7,F1,1,,,,,
2026-08-25,2026-08-25,CM,NSE,STK,8308,IN0020180462,SGBJAN27,GB,,,,,2.50%GOLDBONDS2027SR-V,15815.25,15973.98,15815.25,15973.98,15973.98,15948.00,,15909.62,,,6,95208.96,4,F1,1,,,,,
2026-08-25,2026-08-25,CM,NSE,STK,13981,IN0020190370,SGBOCT27,GB,,,,,2.50%GOLDBONDS2027SR-V,16005.00,16880.00,16005.00,16880.00,16880.00,16060.00,,16880.00,,,29,465830.00,3,F1,1,,,,,
2026-08-25,2026-08-25,CM,NSE,STK,8766,IN0020180561,SGBFEB27,GB,,,,,2.50%GOLDBONDS2027SR-VI,15899.00,15990.00,15899.00,15990.00,15990.00,15899.00,,15949.80,,,7,111463.49,3,F1,1,,,,,
2026-08-25,2026-08-25,CM,NSE,STK,14252,IN0020190388,SGBOCT27VI,GB,,,,,2.50%GOLDBONDS2027SR-VI,16050.00,16139.99,16050.00,16139.99,16139.99,16130.25,,16139.99,,,5,80339.99,3,F1,1,,,,,
2026-08-25,2026-08-25,CM,NSE,STK,15432,IN0020190461,SGBDC27VII,GB,,,,,2.50%GOLDBONDS2027SR-VII,16045.00,16045.00,15816.00,16025.00,16025.00,16010.00,,16040.00,,,13,207366.51,11,F1,1,,,,,
2026-08-25,2026-08-25,CM,NSE,STK,18862,IN0020200062,SGBAPR28I,GB,,,,,2.50%GOLDBONDS2028SR-I,16059.86,16273.99,16005.00,16053.20,16052.00,16059.86,,16054.90,,,347,5567130.15,52,F1,1,,,,,
2026-08-25,2026-08-25,CM,NSE,STK,18972,IN0020200088,SGBMAY28,GB,,,,,2.50%GOLDBONDS2028SR-II,15950.00,15989.96,15900.01,15974.94,15974.93,15971.54,,15974.94,,,75,1197526.30,21,F1,1,,,,,
